image_path,arm_type,label
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_028.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_029.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_030.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_031.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_032.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_033.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_034.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_035.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_036.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_037.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_038.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_039.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_040.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_041.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_042.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_043.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_044.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_045.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_046.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_047.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_048.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_049.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_050.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_051.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_052.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_053.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_054.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_055.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_056.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_057.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_058.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_059.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_060.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_061.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_062.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_063.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_064.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_065.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_066.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_067.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_068.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_069.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_070.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_071.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_072.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_073.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_074.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_075.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_076.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_077.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_078.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_079.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_080.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_081.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_082.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_083.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_084.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_085.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_086.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_087.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_088.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_089.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_090.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_091.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_092.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_093.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_094.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_095.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_096.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_097.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_098.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_099.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_100.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_101.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_102.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_103.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_104.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_105.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_106.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_107.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_108.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_109.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_110.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_111.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_112.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_113.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_114.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_115.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_116.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_117.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_118.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_119.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_120.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_121.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_122.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_123.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_124.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_125.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_126.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_127.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_128.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_129.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_130.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_131.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_132.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_133.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_134.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_135.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_136.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_137.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_138.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_139.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_140.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_141.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_142.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_143.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_144.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_145.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_146.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_147.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_148.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_149.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_150.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_151.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_152.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_153.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_154.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_155.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_156.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_157.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_158.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_159.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_160.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_161.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_162.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_163.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_164.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_165.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_166.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_167.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_168.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_169.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_170.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_171.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_172.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_173.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_174.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_175.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_176.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_177.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_178.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_179.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_180.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_181.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_182.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_183.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_184.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_185.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_186.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_187.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_188.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_189.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_190.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_191.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_192.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_193.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_194.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_195.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_196.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_197.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_198.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_199.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_200.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_201.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_202.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_203.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_204.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_205.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_206.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_207.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_208.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_209.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_210.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_211.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_212.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_213.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_214.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_215.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_216.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_217.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_218.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_219.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_220.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_221.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_222.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_223.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_224.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_225.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_226.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_227.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_228.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_229.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_230.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_231.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_232.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_233.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_234.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_235.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_236.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_237.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_238.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_239.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_240.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_241.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_242.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_243.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_244.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_245.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_246.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_247.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_248.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_249.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_250.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_251.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_252.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_253.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_254.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_255.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_256.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_257.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_258.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_259.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_260.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_261.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_262.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_263.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_264.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_265.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_266.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_267.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_268.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_269.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_270.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_271.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_272.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_273.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_274.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_275.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_276.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_277.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_278.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_279.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_280.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_281.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_282.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_283.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_284.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_285.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_286.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_287.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_288.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_289.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_290.jpg,left,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_291.jpg,left,illegal
